overall_rank,bird_name,category,max_LD,CL_max,stall_alpha,min_CD,cruise_LD,climb_LD,max_endurance_param,dCM_dCL,t_over_c,max_camber,best_alpha,best_Re,file_path,avg_LD,LD_std,max_CL,neg_alpha_LD,design_LD,high_alpha_LD,stall_method,stall_plausible,estimated_Re,Re_method,design_point_Re,design_point_LD,design_point_CL,LD_CoV,avg_confidence,low_conf_fraction,plausible_fraction,used_implausible_fallback,conditions_tested,endurance_alpha,endurance_Re,is_statically_stable,drag_bucket_width,camber_loc,LD_at_Re_1e+04,LD_at_Re_5e+04,LD_at_Re_1e+05,LD_at_Re_2e+05,LD_at_Re_5e+05,LD_at_Re_1e+06
1,Accipiter_albogularis,diving,80.0,1.0670440831723722,5.0,0.009210594933727737,23.87815191568832,30.28965486260365,137.79234680987557,-0.0035112341283174307,0.16842599925891283,0.055997349848570216,6.0,500000.0,/Users/kanishkkarthick/Documents/Official/final itration /OUTPUT/airfoils/diving/airfoil_00001_Accipiter_albogularis_AR1.47.dat,19.424103492765465,24.85277170964837,1.7280554388217702,8.39970936677191,30.909988323398068,10.377725720932853,curvature,True,50900.0,header,50000.0,3.594299713603859,0.5821386310788583,1.2794809520770865,0.884814606375129,0.02666666666666667,0.9666666666666667,False,150,11.0,1000000.0,True,2.5,0.34,2.3796215761793986,3.594299713603859,5.993769991879634,48.45387307980969,80.0,80.0
2,Accipiter_badius,diving,80.0,1.0620482877567103,5.0,0.009195853603410098,23.657749900399637,29.732491946338524,146.33521476102666,-0.005284151332929535,0.17170248710817215,0.05630739072575425,6.0,500000.0,/Users/kanishkkarthick/Documents/Official/final itration /OUTPUT/airfoils/diving/airfoil_00002_Accipiter_badius_AR1.47.dat,19.134744571293638,24.76895723602238,1.739927990376986,8.370558876285312,30.386596067913562,10.242928102620429,curvature,True,37400.0,header,50000.0,3.5042237989932192,0.5723932135747083,1.294449259528243,0.8844212336570089,0.02666666666666667,0.9666666666666667,False,150,11.0,1000000.0,True,2.0,0.34,2.370977367385553,3.5042237989932192,5.577899249357419,44.34673363499226,80.0,80.0
3,Accipiter_brachyurus,diving,80.0,1.0611024385767296,5.0,0.009193458303736234,23.63635846753492,29.5075086041818,146.3203624291124,-0.005545860225898696,0.17254467858097922,0.05656874245402777,6.0,500000.0,/Users/kanishkkarthick/Documents/Official/final itration /OUTPUT/airfoils/diving/airfoil_00004_Accipiter_brachyurus_AR1.46.dat,19.03251978482378,24.71990715348336,1.7389717937833298,8.404107530214675,30.24764793918894,10.191734460920665,curvature,True,41600.0,header,50000.0,3.485929001083745,0.6173321108410537,1.298824650342408,0.8830063955347002,0.02666666666666667,0.9666666666666667,False,150,11.0,1000000.0,True,2.5,0.34,2.3688038966026985,3.485929001083745,5.356609892121206,43.34804646233994,80.0,80.0
4,Accipiter_brevipes,diving,80.0,1.0761034806382859,5.0,0.009046305738599344,24.184502320472546,31.197406792555782,134.32294120520314,-0.001694520063119449,0.16110454742817576,0.054390348052888164,6.0,500000.0,/Users/kanishkkarthick/Documents/Official/final itration /OUTPUT/airfoils/diving/airfoil_00005_Accipiter_brevipes_AR1.68.dat,19.93234868967855,25.041775141530422,1.718107205881076,8.21299346960832,31.883387122683533,10.737018535854203,curvature,True,45800.0,header,50000.0,3.7951208173716244,0.6007987244106893,1.256338341008419,0.8854961334161849,0.02666666666666667,0.9666666666666667,False,150,10.0,500000.0,True,2.5,0.335,2.3979606156660154,3.7951208173716244,8.167174690025222,53.768239830701674,80.0,80.0
5,Accipiter_cirrocephalus,diving,80.0,1.0720496301753841,5.0,0.009118444671950844,24.02741668746789,30.85841593801302,135.08628619682412,-0.0022740656905090037,0.16434507736125764,0.055036777565817444,6.0,500000.0,/Users/kanishkkarthick/Documents/Official/final itration /OUTPUT/airfoils/diving/airfoil_00008_Accipiter_cirrocephalus_AR1.59.dat,19.725683826444566,24.968683533329475,1.7238078312695266,8.295367001648716,31.43768837145927,10.586648971732153,curvature,True,44600.0,header,50000.0,3.7047056258627102,0.5924347155930227,1.2657955225897182,0.8863405171079428,0.02666666666666667,0.9666666666666667,False,150,10.0,500000.0,True,3.0,0.335,2.389955569900425,3.7047056258627102,7.36631610100878,51.673945249556205,80.0,80.0
6,Accipiter_collaris,diving,80.0,1.0552613754299545,5.0,0.009141729173091898,23.348215760193632,28.22385684155977,156.56630592659434,-0.007195147454518468,0.17641800505824362,0.05701697919781013,6.0,500000.0,/Users/kanishkkarthick/Documents/Official/final itration /OUTPUT/airfoils/diving/airfoil_00009_Accipiter_collaris_AR1.44.dat,18.906175706663348,25.008148356683517,1.7536495522768267,8.382859569162058,29.442746697337583,10.022097063372284,curvature,True,32000.0,header,50000.0,3.3955870821716663,0.6064628588645705,1.322750164916716,0.8789364490416521,0.04,0.9733333333333334,False,150,11.0,1000000.0,True,2.0,0.34,2.3584381842294166,3.3955870821716663,4.817630763894322,35.06904162938198,80.0,80.0
7,Accipiter_cooperii,diving,80.0,1.064663391144966,5.0,0.009253471416672446,23.79386811073585,29.965596858969562,139.8317054032129,-0.0042901874336169245,0.17024488721618,0.05637628007085429,6.0,500000.0,/Users/kanishkkarthick/Documents/Official/final itration /OUTPUT/airfoils/diving/airfoil_00010_Accipiter_cooperii_AR1.48.dat,19.25980266813868,24.785953610152742,1.729941577373845,8.430147716074814,30.642157302949528,10.28523587093703,curvature,True,52600.0,header,50000.0,3.5462878570987035,0.5773206993275768,1.286926597863296,0.8836572548336975,0.02666666666666667,0.9666666666666667,False,150,11.0,1000000.0,True,2.5,0.34,2.374889460231396,3.5462878570987035,5.76505377180418,46.688329100917876,80.0,80.0
8,Accipiter_erythrauchen,diving,80.0,1.0587260448194915,5.0,0.00916276462509882,23.52911928676059,29.053680407454088,150.03500592179782,-0.006277267983651475,0.17417408134724272,0.056793631952432234,6.0,500000.0,/Users/kanishkkarthick/Documents/Official/final itration /OUTPUT/airfoils/diving/airfoil_00011_Accipiter_erythrauchen_AR1.44.dat,18.82808637537818,24.65248727573875,1.7438405362351428,8.404410217137844,29.93877628147815,10.11767361330236,curvature,True,38600.0,header,50000.0,3.448115634940358,0.6128849494655786,1.3093463390220526,0.881457023244067,0.02666666666666667,0.9666666666666667,False,150,11.0,1000000.0,True,2.5,0.34,2.3644773136469963,3.448115634940358,4.967010306136766,40.46460852238527,80.0,80.0
9,Accipiter_erythropus,diving,80.0,1.0179670449353102,5.0,0.009177726872055788,23.014694283323994,24.21451336362545,134.60866922910398,-0.008043034358071995,0.1806976148686663,0.057675215657880946,6.0,500000.0,/Users/kanishkkarthick/Documents/Official/final itration /OUTPUT/airfoils/diving/airfoil_00012_Accipiter_erythropus_AR1.40.dat,17.709350768296236,24.487830091157146,1.7664604814240363,8.395548556641023,28.243523006343636,9.811991501968166,curvature,True,29200.0,header,10000.0,2.346727336485777,1.0179670449353102,1.382762644931811,0.8711314235501777,0.03333333333333333,0.9666666666666667,False,150,11.0,500000.0,True,2.0,0.34500000000000003,2.346727336485777,3.308985369410734,4.624606422638732,24.524206013541168,80.0,80.0
10,Accipiter_fasciatus,diving,80.0,1.076132051169875,5.0,0.009057727443314116,24.21071796669674,31.08940580153913,134.1105677396276,-0.001002919551993556,0.1616432951271872,0.054836420124941984,6.0,500000.0,/Users/kanishkkarthick/Documents/Official/final itration /OUTPUT/airfoils/diving/airfoil_00013_Accipiter_fasciatus_AR1.61.dat,19.89334305531434,25.015372143752153,1.7160497382149642,8.30852432317941,31.87895634016461,10.686722097694426,curvature,True,61200.0,header,50000.0,3.7819062968776174,0.6003715040665425,1.257474463528896,0.883798443873213,0.02666666666666667,0.9666666666666667,False,150,10.0,500000.0,True,2.5,0.335,2.3969096929639253,3.7819062968776174,8.009762231460515,53.495171359694595,80.0,80.0
