group,geometry,performance,pearson_r,pearson_p,spearman_r,spearman_p,n
ALL,t_over_c,max_LD,-0.019340896296504977,0.03322024053362324,-0.2787860804137884,3.007511309152726e-215,12122
ALL,t_over_c,cruise_LD,-0.8743043300798359,0.0,-0.8689647288079372,0.0,12122
ALL,t_over_c,climb_LD,-0.9077916205698986,0.0,-0.6671225100551034,0.0,12122
ALL,t_over_c,CL_max,-0.6063380376972879,0.0,-0.9682707794058287,0.0,12122
ALL,t_over_c,stall_alpha,0.2813832459340507,2.086056546336957e-219,0.20756841613900553,4.3228698320262005e-118,12122
ALL,t_over_c,min_CD,0.9552564686785803,0.0,0.8611338557210482,0.0,12122
ALL,t_over_c,max_endurance_param,0.11087202299907005,1.8199293297513217e-34,0.1267944839426145,1.2580024030565173e-44,12122
ALL,t_over_c,drag_bucket_width,0.02502699123992893,0.005858136543436736,0.016344649832989406,0.07194281305771497,12122
ALL,max_camber,max_LD,0.015286798855574655,0.0923749701390231,-0.24416810835682973,4.964202889973873e-164,12122
ALL,max_camber,cruise_LD,-0.8759339447525386,0.0,-0.8839086415179976,0.0,12122
ALL,max_camber,climb_LD,-0.8990292998671008,0.0,-0.5918777663036752,0.0,12122
ALL,max_camber,CL_max,-0.5229833079671933,0.0,-0.925965689778519,0.0,12122
ALL,max_camber,stall_alpha,0.23787123460065263,1.5431936946458228e-155,0.1969045247834277,3.1244134828913473e-106,12122
ALL,max_camber,min_CD,0.9642984739674019,0.0,0.8487244505150786,0.0,12122
ALL,max_camber,max_endurance_param,0.12575991263017816,6.338764215471158e-44,0.19546981524055,1.0934703805981782e-104,12122
ALL,max_camber,drag_bucket_width,-0.06671694305770323,1.9385350155341907e-13,-0.032177824931772056,0.0003951091439316807,12122
ALL,camber_loc,max_LD,-0.025469030360038766,0.005042521510788522,-0.2408317428124027,1.684834462363206e-159,12122
ALL,camber_loc,cruise_LD,-0.886459724458407,0.0,-0.8503078683019124,0.0,12122
ALL,camber_loc,climb_LD,-0.8619999297044375,0.0,-0.6042712252101996,0.0,12122
ALL,camber_loc,CL_max,-0.5235368192904968,0.0,-0.8838056341345132,0.0,12122
ALL,camber_loc,stall_alpha,0.23383270169151163,3.197268150733627e-150,0.2022880163044603,3.912551128713524e-112,12122
ALL,camber_loc,min_CD,0.9430605896867585,0.0,0.855034780994975,0.0,12122
ALL,camber_loc,max_endurance_param,0.13881046045898765,3.236879714354697e-53,0.15962431933960297,5.344570484859411e-70,12122
ALL,camber_loc,drag_bucket_width,-0.07133215772211982,3.7541708638370674e-15,-0.04275536606698419,2.488964371272881e-06,12122
diving,t_over_c,max_LD,0.2066607780433697,6.209695136557936e-44,0.06038930927315424,5.772002452578186e-05,4430
diving,t_over_c,cruise_LD,-0.7244829820106062,0.0,-0.6912110981494086,0.0,4430
diving,t_over_c,climb_LD,-0.972812956303085,0.0,-0.9894370782460132,0.0,4430
diving,t_over_c,CL_max,-0.4663368838400922,4.176916501474915e-238,-0.8836016463254419,0.0,4430
diving,t_over_c,stall_alpha,0.2580654419143885,2.501007240683528e-68,0.2519590456453724,4.0865795371388225e-65,4430
diving,t_over_c,min_CD,0.9685989556751189,0.0,0.9671601805042691,0.0,4430
diving,t_over_c,max_endurance_param,-0.12870488286811466,7.989582741079961e-18,-0.21396559907975024,4.86376511909879e-47,4430
diving,t_over_c,drag_bucket_width,-0.05238502110902181,0.000486527831648046,0.04938243746718901,0.001009424267537929,4430
diving,max_camber,max_LD,0.2275875719193093,3.804784279959217e-53,0.08905134073069994,2.898838064197428e-09,4430
diving,max_camber,cruise_LD,-0.7976028773881194,0.0,-0.7406836703366115,0.0,4430
diving,max_camber,climb_LD,-0.9112143484774353,0.0,-0.9625581884573732,0.0,4430
diving,max_camber,CL_max,-0.33055641560335586,1.991784760035207e-113,-0.8228990856598042,0.0,4430
diving,max_camber,stall_alpha,0.16217361963121685,1.7310990037782865e-27,0.20285102723793366,2.3271978169828805e-42,4430
diving,max_camber,min_CD,0.9759460217360455,0.0,0.9610661790462637,0.0,4430
diving,max_camber,max_endurance_param,-0.07610962062983077,3.943803668234266e-07,-0.15235756247708293,2.0370460773151577e-24,4430
diving,max_camber,drag_bucket_width,-0.21896346714671172,3.1208101149062482e-49,0.0017757943616350622,0.9059404910905784,4430
diving,camber_loc,max_LD,0.21671738251131673,3.0655538284674076e-48,0.11398953096292906,2.7491149471596457e-14,4430
diving,camber_loc,cruise_LD,-0.7830379317056699,0.0,-0.7307550089589836,0.0,4430
diving,camber_loc,climb_LD,-0.9100646186032274,0.0,-0.9367530357185574,0.0,4430
diving,camber_loc,CL_max,-0.33651738473858733,9.7600112709801e-118,-0.7857309034681296,0.0,4430
diving,camber_loc,stall_alpha,0.16954180380735892,6.349048259547252e-30,0.20132109413034854,9.771659621006854e-42,4430
diving,camber_loc,min_CD,0.960602210735022,0.0,0.9429769522751461,0.0,4430
diving,camber_loc,max_endurance_param,-0.06851649017284092,5.008896051692891e-06,-0.13001650379289978,3.684595992191553e-18,4430
diving,camber_loc,drag_bucket_width,-0.1857784841359775,1.084102857121143e-35,-0.03303433979798032,0.02790016850554629,4430
generalist,t_over_c,max_LD,-0.042314452323959695,0.026571077925653667,-0.6344187596906546,2.60979476954294e-309,2747
generalist,t_over_c,cruise_LD,-0.4854487812041426,2.0249383161701365e-162,-0.7842335628006522,0.0,2747
generalist,t_over_c,climb_LD,-0.7139979549451764,0.0,-0.8937961697925831,0.0,2747
generalist,t_over_c,CL_max,-0.6096463235166748,2.5782481711203975e-279,-0.9946381334309204,0.0,2747
generalist,t_over_c,stall_alpha,,,,,2747
generalist,t_over_c,min_CD,0.9872349119399503,0.0,0.9947413222082335,0.0,2747
generalist,t_over_c,max_endurance_param,-0.48707135381156885,1.1833297719865362e-163,-0.7720574300665942,0.0,2747
generalist,t_over_c,drag_bucket_width,0.1997301063715327,4.0993063007288467e-26,0.13908852971429395,2.43969838582081e-13,2747
generalist,max_camber,max_LD,-0.08379969037696508,1.0933699745048108e-05,-0.418024014224084,1.1984148297207696e-116,2747
generalist,max_camber,cruise_LD,-0.614318789110573,9.075760533904871e-285,-0.7542245702896709,0.0,2747
generalist,max_camber,climb_LD,-0.33932792927806565,5.417782696349863e-75,-0.653046111515562,0.0,2747
generalist,max_camber,CL_max,-0.3920184161002266,1.3514513388265424e-101,-0.8473525324130466,0.0,2747
generalist,max_camber,stall_alpha,,,,,2747
generalist,max_camber,min_CD,0.8538016930551726,0.0,0.8767194463049603,0.0,2747
generalist,max_camber,max_endurance_param,-0.19397261658217535,1.0734919359618059e-24,-0.5271369859703448,2.553332206446915e-196,2747
generalist,max_camber,drag_bucket_width,-0.026650381568571378,0.16259179977189075,-0.08119640826694467,2.0374030672423147e-05,2747
hovering,t_over_c,max_LD,-0.9327456975050508,5.987670413491633e-135,-0.9736883437646295,9.739422743226092e-195,302
hovering,t_over_c,cruise_LD,-0.9998273272955878,0.0,-0.9999542534788597,0.0,302
hovering,t_over_c,climb_LD,-0.9980129618288579,0.0,-0.9987143049153767,0.0,302
hovering,t_over_c,CL_max,-0.9997248084439561,0.0,-0.9997895660027541,0.0,302
hovering,t_over_c,stall_alpha,,,,,302
hovering,t_over_c,min_CD,0.9929128917488705,1.4444190634935088e-279,0.9973153327307864,0.0,302
hovering,t_over_c,max_endurance_param,-0.9942400267841226,4.9567096967491224e-293,-0.9963982239022089,2e-323,302
hovering,t_over_c,drag_bucket_width,-0.696199523783471,4.251832297297755e-45,-0.7196630338429517,1.8755063800912254e-49,302
hovering,max_camber,max_LD,-0.8919139581838802,2.055771446982761e-105,-0.952470671578536,6.545584855586189e-157,302
hovering,max_camber,cruise_LD,-0.9946998041447435,1.9531230330519415e-298,-0.9956266325789734,6.2979156704594e-311,302
hovering,max_camber,climb_LD,-0.9868084311513998,2.732828542768161e-239,-0.9904699104435606,2.3715824654527697e-260,302
hovering,max_camber,CL_max,-0.9924505477968426,1.8269864837550885e-275,-0.9941806068297815,2.300719252858348e-292,302
hovering,max_camber,stall_alpha,,,,,302
hovering,max_camber,min_CD,0.9879951486031447,2.1579623555322433e-245,0.9929258451070722,1.0988432670994425e-279,302
hovering,max_camber,max_endurance_param,-0.9784903182211545,1.0413202216657482e-207,-0.9854386644804188,6.729731275943924e-233,302
hovering,max_camber,drag_bucket_width,-0.6883144224343788,9.980523436626063e-44,-0.7196630338429517,1.8755063800912254e-49,302
maneuvering,t_over_c,max_LD,-0.5574705087851104,8.234813293e-315,-0.5895251356284809,0.0,3868
maneuvering,t_over_c,cruise_LD,-0.8930372431463738,0.0,-0.9670589313680424,0.0,3868
maneuvering,t_over_c,climb_LD,0.014029120013996846,0.3830570396534706,-0.39535616093398923,6.694619529654568e-145,3868
maneuvering,t_over_c,CL_max,-0.8408505133519502,0.0,-0.9696018743012681,0.0,3868
maneuvering,t_over_c,stall_alpha,,,,,3868
maneuvering,t_over_c,min_CD,-0.26045091659193387,5.2587405918219654e-61,-0.4244154503946529,5.631425186425696e-169,3868
maneuvering,t_over_c,max_endurance_param,-0.04324362232875092,0.007148408817279929,-0.11263751036977304,2.1346149083314277e-12,3868
maneuvering,t_over_c,drag_bucket_width,-0.25353743586561045,8.444288834293517e-58,-0.19796420759863956,1.767869534639109e-35,3868
maneuvering,max_camber,max_LD,-0.5277408196526028,2.209719992135807e-276,-0.5301745358220444,2.1939433579242197e-279,3868
maneuvering,max_camber,cruise_LD,-0.8218107239681974,0.0,-0.8864949698852307,0.0,3868
maneuvering,max_camber,climb_LD,0.26562501087953583,1.809096177942681e-63,-0.22468994404178774,1.8413790564150955e-45,3868
maneuvering,max_camber,CL_max,-0.5980456430043435,0.0,-0.8479089977459687,0.0,3868
maneuvering,max_camber,stall_alpha,,,,,3868
maneuvering,max_camber,min_CD,-0.2748531785810183,5.317219198409547e-68,-0.3479529057581707,1.692071733192357e-110,3868
maneuvering,max_camber,max_endurance_param,-0.0452920936447265,0.0048414533210776305,-0.14349675311411617,3.016947361102332e-19,3868
maneuvering,max_camber,drag_bucket_width,-0.22777402754849113,1.0583529577984402e-46,-0.2044591400688362,8.847212275394171e-38,3868
soaring,t_over_c,max_LD,0.3644502876712384,9.35268876120679e-26,0.23848777629972995,1.7464932577503878e-11,775
soaring,t_over_c,cruise_LD,0.31154772212556847,6.620838967710024e-19,0.16965963083612223,2.0343966394787796e-06,775
soaring,t_over_c,climb_LD,-0.8988768522291917,3.2933589101119746e-279,-0.9215176575358266,8.9327e-320,775
soaring,t_over_c,CL_max,-0.5375396448856794,3.059160822243858e-59,-0.9396774390346943,0.0,775
soaring,t_over_c,stall_alpha,,,,,775
soaring,t_over_c,min_CD,0.8191798512495825,8.1636974178728e-189,0.8971331464626338,1.7138991605370727e-276,775
soaring,t_over_c,max_endurance_param,-0.07916003247162046,0.027550807900089215,0.019882133099865907,0.5804987196669233,775
soaring,t_over_c,drag_bucket_width,0.45214904478050855,2.57410971669164e-40,0.4534573748439225,1.4428278590210413e-40,775
soaring,max_camber,max_LD,0.20114406780741445,1.6194514812262057e-08,0.14022875241205726,8.970562251965263e-05,775
soaring,max_camber,cruise_LD,0.09483393954990296,0.008247653467434836,-0.0529263394454273,0.14100452934840563,775
soaring,max_camber,climb_LD,-0.7355781831532662,7.139767695656172e-133,-0.7220794967460855,8.099893444421053e-126,775
soaring,max_camber,CL_max,-0.4417989741198268,2.2985516852135017e-38,-0.756098431824911,1.8000527122756217e-144,775
soaring,max_camber,stall_alpha,,,,,775
soaring,max_camber,min_CD,0.761472850998396,1.0594315395250333e-147,0.8097194942872222,3.9969710574218753e-181,775
soaring,max_camber,max_endurance_param,-0.015008435829896506,0.6765567966869926,0.028467118933752464,0.4287267848924101,775
soaring,max_camber,drag_bucket_width,0.4528545667219508,1.884462871662913e-40,0.4717518346367583,3.3652210071079567e-44,775
