species,Wing.Length,Secondary1,Kipps.Distance,Tail.Length,Hand-Wing.Index,aspect_ratio,wing_loading_proxy,pointedness_index,efficiency_index,score_soaring,score_diving,score_maneuvering,score_cruising,score_hovering,category_score,flight_category
Leptoptilos_javanicus,624.6,395.0,213.2,277.2,35.2,1.5812658227848102,0.005704422160118363,0.3413384566122318,0.12015113672750559,3.559589977220957,3.541526195899772,0.4076309794988608,3.186150341685649,1.1788838268792712,3.559589977220957,soaring
Aquila_verreauxii,590.2,389.8,200.5,403.5,34.0,1.5141097998973834,0.0037524406441075174,0.33971535072856657,0.11550321924771262,3.542277904328018,3.514350797266515,0.48578587699316617,3.125330296127563,1.1803644646924831,3.542277904328018,soaring
Ara_macao,393.7,263.7,127.5,554.5,32.7,1.4929844520288207,0.0026924877403585582,0.3238506477012954,0.10589916179832361,3.536492027334852,3.437676537585422,0.5485193621867881,3.0656947608200453,1.1939407744874715,3.536492027334852,soaring
Aquila_gurneyi,544.5,360.8,183.8,365.5,33.8,1.5091463414634145,0.004128991358313036,0.3375573921028467,0.11409439853076217,3.5319817767653765,3.505125284738041,0.49496583143507966,3.1158086560364464,1.1834851936218675,3.5319817767653765,soaring
Ara_glaucogularis,343.4,231.1,114.7,477.0,33.1,1.4859368238857638,0.0031151715385445778,0.3340128130460105,0.11055824111822948,3.5212300683371294,3.4829384965831434,0.5354214123006834,3.083006833712984,1.2431207289293846,3.5212300683371294,soaring
Anodorhynchus_hyacinthinus,444.0,299.5,132.2,444.5,30.9,1.4824707846410685,0.003335142372645823,0.2977477477477477,0.09200405405405404,3.519453302961276,3.2966287015945333,0.6343507972665148,2.982779043280183,1.1231435079726653,3.519453302961276,soaring
Anhima_cornuta,553.1,370.5,181.1,253.4,32.9,1.4928475033738193,0.005891268758381292,0.3274272283493039,0.10772355812692097,3.472255125284738,3.453234624145786,0.541025056947608,3.0755808656036447,1.162984054669704,3.472255125284738,soaring
Syrmaticus_soemmerringii,215.4,149.8,63.5,661.9,29.8,1.4379172229639519,0.002172408555618601,0.2948003714020427,0.08785051067780872,3.4702050113895218,3.2524373576309795,0.7213211845102504,2.9110250569476084,1.3166287015945328,3.4702050113895218,soaring
Pernis_ptilorhynchus,413.6,278.6,130.7,263.8,32.0,1.4845656855707106,0.005627618216719904,0.31600580270793033,0.1011218568665377,3.469840546697039,3.3936674259681094,0.5833257403189067,3.032847380410023,1.1666514806378132,3.469840546697039,soaring
Ara_ararauna,381.3,264.6,115.4,492.5,30.1,1.4410430839002266,0.0029259758048735566,0.3026488329399423,0.09109729871492264,3.469111617312073,3.2983143507972663,0.6970387243735765,2.9359908883826877,1.146013667425968,3.469111617312073,soaring
Syrmaticus_humiae,212.4,146.6,61.9,378.6,29.7,1.4488403819918145,0.003826836719471248,0.2914312617702448,0.0865550847457627,3.4684282460136675,3.234738041002278,0.7158314350797266,2.908656036446469,1.313872437357631,3.4684282460136675,soaring
