species,Wing.Length,Secondary1,Kipps.Distance,Tail.Length,Hand-Wing.Index,aspect_ratio,wing_loading_proxy,pointedness_index,efficiency_index,score_soaring,score_diving,score_maneuvering,score_cruising,score_hovering,score_generalist,flight_category,category_score
Myrmotherula_iheringi,49.5,42.9,10.5,26.1,20.2,1.153846153846154,0.044208664898320066,0.21212121212121213,0.04284848484848485,0.476013667425968,2.219772209567198,2.3070159453302965,1.6151025056947608,2.9132346241457863,2.0867653758542137,hovering,2.9132346241457863
Euphonia_gouldi,53.3,44.2,12.7,25.4,22.2,1.2058823529411764,0.04747568318666048,0.23827392120075047,0.052896810506566604,0.7449658314350796,2.5839407744874716,1.8576993166287015,1.990751708428246,2.8664464692482916,2.1335535307517084,hovering,2.8664464692482916
Dicaeum_luzoniense,46.8,35.9,10.9,24.6,23.3,1.3036211699164346,0.052992730484407904,0.23290598290598294,0.05426709401709402,1.2261503416856492,2.5997949886104785,1.40749430523918,2.3068792710706147,2.832277904328018,2.167722095671982,hovering,2.832277904328018
Dicaeum_ignipectus,46.8,35.9,10.9,24.6,23.3,1.3036211699164346,0.052992730484407904,0.23290598290598294,0.05426709401709402,1.2261503416856492,2.5997949886104785,1.40749430523918,2.3068792710706147,2.832277904328018,2.167722095671982,hovering,2.832277904328018
Dicaeum_cambodianum,46.8,35.9,10.9,24.6,23.3,1.3036211699164346,0.052992730484407904,0.23290598290598294,0.05426709401709402,1.2261503416856492,2.5997949886104785,1.40749430523918,2.3068792710706147,2.832277904328018,2.167722095671982,hovering,2.832277904328018
Dicaeum_beccarii,46.8,35.9,10.9,24.6,23.3,1.3036211699164346,0.052992730484407904,0.23290598290598294,0.05426709401709402,1.2261503416856492,2.5997949886104785,1.40749430523918,2.3068792710706147,2.832277904328018,2.167722095671982,hovering,2.832277904328018
Lonchura_tristissima,49.4,37.5,11.9,38.4,24.1,1.3173333333333332,0.034305555555555554,0.24089068825910934,0.05805465587044536,1.4292027334851936,2.7041457858769933,1.3012756264236902,2.4009567198177675,2.827107061503417,2.172892938496583,hovering,2.827107061503417
Dicaeum_wilhelminae,46.6,35.5,10.7,27.4,23.1,1.3126760563380282,0.04790788526781125,0.22961373390557938,0.053040772532188835,1.283507972665148,2.5592027334851934,1.4039863325740318,2.2996810933940774,2.802756264236902,2.197243735763098,hovering,2.802756264236902
Dicaeum_sanguinolentum,46.6,35.5,10.7,27.4,23.1,1.3126760563380282,0.04790788526781125,0.22961373390557938,0.053040772532188835,1.283507972665148,2.5592027334851934,1.4039863325740318,2.2996810933940774,2.802756264236902,2.197243735763098,hovering,2.802756264236902
Dicaeum_hanieli,46.6,35.5,10.7,27.4,23.1,1.3126760563380282,0.04790788526781125,0.22961373390557938,0.053040772532188835,1.283507972665148,2.5592027334851934,1.4039863325740318,2.2996810933940774,2.802756264236902,2.197243735763098,hovering,2.802756264236902
Ispidina_lecontei,47.7,34.8,11.2,20.3,24.3,1.370689655172414,0.06752165789026669,0.23480083857442346,0.0570566037735849,1.3978587699316627,2.6646697038724376,1.1853075170842826,2.474806378132118,2.7919589977220958,2.2080410022779042,hovering,2.7919589977220958
Ceyx_pusillus,50.8,38.6,11.9,24.6,23.6,1.316062176165803,0.053498462445764346,0.23425196850393704,0.05528346456692915,1.2714350797266514,2.624009111617312,1.3509339407744876,2.3510706150341685,2.7647835990888385,2.2352164009111615,hovering,2.7647835990888385
Lonchura_punctulata,52.6,42.4,11.9,39.0,22.0,1.2405660377358492,0.031809385582970494,0.2262357414448669,0.04977186311787072,1.143872437357631,2.4734168564920274,1.7354214123006835,2.055808656036447,2.7605694760820043,2.2394305239179957,hovering,2.7605694760820043
