species,Wing.Length,Secondary1,Kipps.Distance,Tail.Length,Hand-Wing.Index,aspect_ratio,wing_loading_proxy,pointedness_index,efficiency_index,score_soaring,score_diving,score_maneuvering,score_cruising,score_hovering,score_generalist,flight_category,category_score
Casuarius_casuarius,300.8,300.6,0.2,402.5,0.1,1.0006653359946773,0.002486125058371869,0.0006648936170212766,6.648936170212766e-07,1.9998177676537585,0.0009567198177676538,3.9969020501138957,0.0019134396355353074,0.11093394077448739,1.0030979498861043,maneuvering,3.9969020501138957
Casuarius_unappendiculatus,264.5,264.3,0.2,273.5,0.1,1.0007567158531971,0.0036590739153681794,0.0007561436672967864,7.561436672967864e-07,1.9861503416856492,0.0012300683371298407,3.9967198177676537,0.0021867881548974944,0.15211845102505686,1.0032801822323463,maneuvering,3.9967198177676537
Dromaius_novaehollandiae,124.5,124.4,0.1,430.0,0.1,1.0008038585209003,0.0023274508337695356,0.0008032128514056225,8.032128514056226e-07,2.0009111617312074,0.0015034168564920275,3.9965375854214127,0.0024601366742596814,0.6460592255125285,1.0034624145785873,maneuvering,3.9965375854214127
Casuarius_bennetti,216.8,216.6,0.2,318.8,0.1,1.0009233610341643,0.003139659225326739,0.0009225092250922509,9.225092250922508e-07,1.9941685649202734,0.001776765375854214,3.9963553530751708,0.002733485193621868,0.23257403189066067,1.0036446469248292,maneuvering,3.9963553530751708
Menura_novaehollandiae,280.9,281.6,5.7,582.7,2.0,0.9975142045454544,0.0017118829664414866,0.020291918832324674,0.00040583837664649345,2.0006833712984053,0.004533029612756264,3.995375854214123,0.003553530751708428,0.13501138952164005,1.0046241457858769,maneuvering,3.995375854214123
Laterallus_rogersi,54.2,54.1,0.1,28.5,0.2,1.0018484288354899,0.03515257645036806,0.0018450184501845018,3.6900369003690034e-06,0.2237813211845103,0.0027334851936218684,3.9950341685649207,0.0034624145785876995,1.8090205011389522,1.0049658314350793,maneuvering,3.9950341685649207
Rallicula_leucospila,106.8,105.4,1.4,64.0,1.3,1.0132827324478177,0.015832542694497152,0.013108614232209737,0.00017041198501872658,1.2994988610478357,0.0031435079726651483,3.9943507972665144,0.004009111617312073,0.8035990888382689,1.0056492027334856,maneuvering,3.9943507972665144
Carpococcyx_renauldi,278.6,273.0,5.4,319.4,2.0,1.0205128205128207,0.003195093364160365,0.019382627422828428,0.00038765254845656857,1.9946697038724372,0.004259681093394078,3.9930979498861054,0.004920273348519363,0.13619589977220947,1.0069020501138946,maneuvering,3.9930979498861054
Coua_reynaudii,135.2,131.9,2.5,210.6,1.9,1.025018953752843,0.004867136532539615,0.01849112426035503,0.00035133136094674556,1.9650113895216401,0.003553530751708428,3.9929840546697037,0.005011389521640091,0.5655580865603643,1.0070159453302963,maneuvering,3.9929840546697037
Coua_serriana,169.4,166.7,3.5,212.7,2.1,1.0161967606478706,0.004777605832853176,0.02066115702479339,0.00043388429752066115,1.96624145785877,0.005011389521640092,3.9929384965831436,0.005239179954441914,0.37526195899772197,1.0070615034168564,maneuvering,3.9929384965831436
Coua_coquereli,145.5,141.2,4.3,214.7,3.0,1.0304532577903684,0.004799502830882014,0.029553264604810996,0.0008865979381443298,1.967015945330296,0.005535307517084283,3.9915945330296125,0.006423690205011391,0.49642369020501137,1.0084054669703875,maneuvering,3.9915945330296125
Psophia_dextralis,282.4,275.7,9.3,113.7,3.3,1.0243017772941603,0.009008810706193141,0.032932011331444765,0.0010867563739376772,1.8170842824601365,0.007266514806378133,3.9911389521640084,0.008291571753986333,0.13337129840546696,1.0088610478359916,maneuvering,3.9911389521640084
