species,Wing.Length,Secondary1,Kipps.Distance,Tail.Length,Hand-Wing.Index,aspect_ratio,wing_loading_proxy,pointedness_index,efficiency_index,score_soaring,score_diving,score_maneuvering,score_cruising,score_hovering,category_score,flight_category
Urotriorchis_macrourus,286.5,218.2,68.2,373.8,23.8,1.3130155820348306,0.0035126152542397818,0.23804537521815008,0.05665479930191972,3.1631890660592257,2.6659453302961276,1.340979498861048,2.3647835990888377,1.0157858769931662,3.1631890660592257,generalist
Lamprotornis_caudatus,178.0,135.3,45.2,297.2,25.1,1.3155949741315593,0.004426631810671465,0.2539325842696629,0.0637370786516854,3.1573120728929385,2.8433940774487474,1.2239407744874713,2.484646924829157,1.3179271070615037,3.1573120728929385,generalist
Pavo_muticus,465.8,358.6,101.7,500.8,22.0,1.2989403234802008,0.0025937306778758005,0.21833404894804637,0.0480334907685702,3.12373576309795,2.4012528473804102,1.5475854214123006,2.1688838268792714,0.8023006833712985,3.12373576309795,generalist
Bycanistes_bucinator,277.5,211.2,65.1,232.2,23.6,1.3139204545454546,0.00565857215566518,0.23459459459459459,0.055364324324324324,3.122779043280182,2.628246013667426,1.3548519362186786,2.350205011389522,1.0117995444191346,3.122779043280182,generalist
Crotophaga_major,193.6,147.8,46.0,252.2,23.7,1.3098782138024356,0.005193807350525121,0.23760330578512398,0.056311983471074384,3.1199088838268794,2.657107061503417,1.3552847380410022,2.353485193621868,1.1827107061503417,3.1199088838268794,generalist
Ortalis_canicollis,235.7,180.5,46.1,248.3,20.8,1.3058171745152354,0.0052590301027597075,0.1955876113703861,0.04068222316504031,3.116400911161731,2.080979498861048,1.6803416856492026,2.0168564920273346,0.8519134396355353,3.116400911161731,generalist
Eutriorchis_astur,318.5,244.3,74.2,287.5,23.3,1.303724928366762,0.004534695403014825,0.23296703296703297,0.054281318681318684,3.1123462414578587,2.6012072892938494,1.4067653758542142,2.3077448747152616,0.9707289293849657,3.1123462414578587,generalist
Lophoceros_bradfieldi,242.2,184.3,61.2,217.1,25.0,1.3141616928920237,0.006053255149203242,0.25268373245251863,0.06317093311312966,3.10870159453303,2.829430523917995,1.2357175398633258,2.4709794988610483,1.1530751708428246,3.10870159453303,generalist
Nisaetus_lanceolatus,373.0,285.8,90.5,261.8,24.0,1.305108467459762,0.00498513547540016,0.24262734584450402,0.05823056300268096,3.107061503416857,2.710706150341686,1.3394533029612756,2.3760364464692483,0.9779498861047835,3.107061503416857,generalist
Buceros_rhinoceros,458.5,353.5,97.2,365.6,21.7,1.297029702970297,0.003547674242260112,0.21199563794983642,0.0460030534351145,3.1070615034168565,2.3205922551252844,1.5900683371298405,2.1292027334851933,0.7844646924829155,3.1070615034168565,generalist
