ID,Species,FlightCategory,DatFilename,CpFilename,AspectRatio,PointednessIndex,HandWingIndex,EfficiencyIndex,WingLoadingProxy,MaxThickness,MaxThicknessPos,MaxCamber,MaxCamberPos,WingLength_mm,Secondary1_mm,KippsDistance_mm,TailLength_mm,EstimatedReynolds,LERadius,LEDroop
1,Accipiter_albogularis,diving,airfoil_00001_Accipiter_albogularis_AR1.47.dat,cp_00001_Accipiter_albogularis_AR1.47.csv,1.474608150470219,0.3477891156462585,33.9,0.1179005102040816,0.0087254920146166,0.16843328587522194,0.2623854749927518,0.055995730990629274,0.33668341708542715,235.2,159.5,81.8,169.0,50850.9328884844,0.030629785034013608,0.001220000000000001
2,Accipiter_badius,diving,airfoil_00002_Accipiter_badius_AR1.47.dat,cp_00002_Accipiter_badius_AR1.47.csv,1.465463108320251,0.3347616497054098,32.9,0.1101365827530798,0.0104229239567585,0.17171319668235585,0.2629976109027301,0.056305600613870736,0.3417085427135678,186.7,127.4,62.5,140.6,37402.92990881742,0.030953251955008036,0.0014200000000000013
3,Accipiter_bicolor,soaring,airfoil_00003_Accipiter_bicolor_AR1.31.dat,cp_00003_Accipiter_bicolor_AR1.31.csv,1.3135011441647595,0.2465156794425087,24.6,0.0606428571428571,0.0070504623948725,0.18043722223018097,0.26789995019161417,0.058079528668372384,0.34673366834170855,229.6,174.8,56.6,186.3,49240.121782961905,0.03330003344947735,0.00308
4,Accipiter_brachyurus,diving,airfoil_00004_Accipiter_brachyurus_AR1.46.dat,cp_00004_Accipiter_brachyurus_AR1.46.csv,1.4641564083997105,0.3170128585558852,31.7,0.1004930761622156,0.0103988381278388,0.17255214094080473,0.2637511580362952,0.05656805608246128,0.3417085427135678,202.2,138.1,64.1,140.8,41574.47162115063,0.03137738140454995,0.0016600000000000005
5,Accipiter_brevipes,diving,airfoil_00005_Accipiter_brevipes_AR1.68.dat,cp_00005_Accipiter_brevipes_AR1.68.csv,1.6751347190146266,0.4034926470588235,40.2,0.162204044117647,0.0109129297655675,0.16111074984897145,0.25876561587917624,0.05438969460735324,0.33668341708542715,217.6,129.9,87.8,153.5,45838.206734259365,0.029040225,0.0
6,Accipiter_butleri,soaring,airfoil_00006_Accipiter_butleri_AR1.35.dat,cp_00006_Accipiter_butleri_AR1.35.csv,1.3484971567831032,0.258433734939759,25.8,0.0666759036144578,0.0106180878486858,0.18172969845203824,0.2671987186138475,0.057928342643277675,0.3417085427135678,166.0,123.1,42.9,127.0,32028.035160010204,0.0329750265060241,0.0028400000000000005
7,Accipiter_castanilius,soaring,airfoil_00007_Accipiter_castanilius_AR1.33.dat,cp_00007_Accipiter_castanilius_AR1.33.csv,1.328188464662876,0.2379204892966361,24.0,0.0571009174311926,0.0098093682766829,0.18413902454259928,0.2682742186221556,0.058298918967215736,0.34673366834170855,163.5,123.1,38.9,135.4,31394.628725791823,0.03350735168195719,0.0032000000000000006
8,Accipiter_cirrocephalus,diving,airfoil_00008_Accipiter_cirrocephalus_AR1.59.dat,cp_00008_Accipiter_cirrocephalus_AR1.59.csv,1.593118922961855,0.3816901408450704,37.8,0.1442788732394366,0.01025173052099,0.16434564135119872,0.2601498327668759,0.05503876740072054,0.33668341708542715,213.0,133.7,81.3,155.4,44552.453259825284,0.029655667605633804,0.00044000000000000153
9,Accipiter_collaris,diving,airfoil_00009_Accipiter_collaris_AR1.44.dat,cp_00009_Accipiter_collaris_AR1.44.csv,1.4401041666666667,0.298372513562387,30.0,0.089511754068716,0.0115208333333333,0.17641929070531664,0.2647603288167313,0.05701843714284871,0.3417085427135678,165.9,115.2,49.5,125.0,32002.632459770804,0.03186766726943942,0.002000000000000001
10,Accipiter_cooperii,diving,airfoil_00010_Accipiter_cooperii_AR1.48.dat,cp_00010_Accipiter_cooperii_AR1.48.csv,1.475229357798165,0.3225538971807629,32.3,0.1041849087893864,0.0078303044469117,0.17025556172577008,0.2634042926032211,0.05637479659268829,0.3417085427135678,241.2,163.5,77.8,188.4,52592.94315658094,0.03122198374792703,0.0015400000000000014
11,Accipiter_erythrauchen,diving,airfoil_00011_Accipiter_erythrauchen_AR1.44.dat,cp_00011_Accipiter_erythrauchen_AR1.44.csv,1.4441087613293049,0.3080543933054393,30.8,0.0948807531380753,0.0093288679672435,0.17417830813092644,0.26427726048190825,0.056794049328394755,0.3417085427135678,191.2,132.4,58.9,154.8,38601.357440618136,0.03162147531380753,0.0018400000000000005
12,Accipiter_erythropus,diving,airfoil_00012_Accipiter_erythropus_AR1.40.dat,cp_00012_Accipiter_erythropus_AR1.40.csv,1.4041780199818348,0.2645536869340233,27.1,0.0716940491591203,0.0134499810343087,0.18070419010340916,0.2664999849459334,0.05767572461527247,0.3417085427135678,154.6,110.1,40.9,104.4,29168.11881308469,0.0327383873221216,0.0025800000000000003
13,Accipiter_fasciatus,diving,airfoil_00013_Accipiter_fasciatus_AR1.61.dat,cp_00013_Accipiter_fasciatus_AR1.61.csv,1.6132695756126716,0.3838458688403112,38.3,0.1470129677658392,0.0078314057068576,0.1616440277666462,0.2598828664735029,0.05483793332560847,0.33668341708542715,269.9,167.3,103.6,206.0,61150.26612744362,0.029568020229714713,0.00034000000000000143
14,Accipiter_francesiae,diving,airfoil_00014_Accipiter_francesiae_AR1.38.dat,cp_00014_Accipiter_francesiae_AR1.38.csv,1.3812056737588654,0.2772785622593068,27.8,0.0770834403080873,0.0108329856765401,0.1797448003156958,0.26603913856694095,0.05752311387630966,0.3417085427135678,155.8,112.8,43.2,127.5,29465.70682286638,0.03245066444159178,0.00244
15,Accipiter_gentilis,diving,airfoil_00015_Accipiter_gentilis_AR1.57.dat,cp_00015_Accipiter_gentilis_AR1.57.csv,1.5702325581395349,0.3631516587677724,36.3,0.1318240521327013,0.0065127853925322,0.16221538296852822,0.26105903987884244,0.05529121431046262,0.33668341708542715,337.6,215.0,122.6,241.1,82719.00407736596,0.030123821800947873,0.0007400000000000006
16,Accipiter_griseiceps,soaring,airfoil_00016_Accipiter_griseiceps_AR1.36.dat,cp_00016_Accipiter_griseiceps_AR1.36.csv,1.3634377276037872,0.2670940170940171,26.8,0.0715811965811965,0.0096560745581004,0.179429482719537,0.2666257667212374,0.05768433802229682,0.3417085427135678,187.2,137.3,50.0,141.2,37535.570099419085,0.03272580170940171,0.00264
17,Accipiter_gularis,diving,airfoil_00017_Accipiter_gularis_AR1.49.dat,cp_00017_Accipiter_gularis_AR1.49.csv,1.491743119266055,0.3333333333333333,33.2,0.1106666666666666,0.0140201420983651,0.17252916340518726,0.26286185172099924,0.05627326561572517,0.3417085427135678,162.6,109.0,54.2,106.4,31167.452394000007,0.030946933333333333,0.00136
18,Accipiter_gundlachi,soaring,airfoil_00018_Accipiter_gundlachi_AR1.37.dat,cp_00018_Accipiter_gundlachi_AR1.37.csv,1.3718411552346572,0.2710526315789474,27.1,0.0734552631578947,0.0061517540593482,0.1773364578944157,0.2664416739674433,0.0575634694471804,0.3417085427135678,228.0,166.2,61.8,223.0,48782.586964006536,0.0326279052631579,0.0025800000000000003
19,Accipiter_haplochrous,diving,airfoil_00019_Accipiter_haplochrous_AR1.49.dat,cp_00019_Accipiter_haplochrous_AR1.49.csv,1.486945169712794,0.3270412642669008,32.7,0.1069424934152765,0.0095931946433083,0.17024631842619192,0.2631659308239757,0.05629597608218011,0.3417085427135678,227.8,153.2,74.5,155.0,48725.479842983266,0.03110489850746269,0.0014600000000000001
20,Accipiter_henicogrammus,diving,airfoil_00020_Accipiter_henicogrammus_AR1.43.dat,cp_00020_Accipiter_henicogrammus_AR1.43.csv,1.4342679127725857,0.312771503040834,31.1,0.0972719374456994,0.0075487784882767,0.17218277244307767,0.2640863622231204,0.05667053987306574,0.3417085427135678,230.2,160.5,72.0,190.0,49412.007479271095,0.03151068444830582,0.0017800000000000005
21,Accipiter_henstii,soaring,airfoil_00021_Accipiter_henstii_AR1.37.dat,cp_00021_Accipiter_henstii_AR1.37.csv,1.3670588235294117,0.2685025817555938,27.0,0.0724956970740103,0.0055798319327731,0.17534198576483662,0.2665140788326781,0.05751398387036919,0.3417085427135678,290.5,212.5,78.0,245.0,67513.60423551576,0.032681456110154904,0.0026000000000000003
22,Accipiter_hiogaster,diving,airfoil_00022_Accipiter_hiogaster_AR1.44.dat,cp_00022_Accipiter_hiogaster_AR1.44.csv,1.4446886446886449,0.3083164300202839,30.8,0.0949614604462474,0.0105837995947886,0.17391037733073045,0.26427490938983444,0.056785094609195175,0.3417085427135678,197.2,136.5,60.8,136.5,40215.44916278041,0.031617020689655176,0.0018400000000000005
